# asset	sha256	size	bytes_required_by	notes
dxmt.tar.zst	bc5574bcca08e222b5a26bf9118526c40a063a1290103319fc5648e02d599edc	31019110	mac,linux	PR129 D3D12/DXMT runtime bundle; installer rejects stale caches if this hash drifts.
steamwebhelper.exe	f46a1e8c39c850ba22861f63559f13b4f68557acf04a92e6d1b899769b2ea1f9	17408	mac,linux	Wine Steam CEF wrapper deployed over Steam's steamwebhelper.exe.
steamwebhelper-wrapper.c	1f4e5580c0ecd2ca44bb1b4673f793650d64b7dd53eddf6cd4b6530a2f2ac174	994	mac,linux	Source for the Wine Steam CEF wrapper.
